GTO_per_unit_vol,segment,sub_segment,Product_Set,Brand,Sub_Brand,Pack_Type,Tax,province,Discount_Total,Premium,Tier 1,Tier 2,RETURNABLE
386.79999999999995,Institutional,Institutional,RETURNABLE_KEG_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,KEG,12.83,Hainaut,14.19,0,1,0,1
128.77777777777777,Drink Led,Bar,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF BLONDE,PIEDBOEUF,PIEDBOEUF BLONDE,BOTTLE,93.18,Hainaut,0.0,0,0,1,1
128.7777777777778,Drink Led,Bar,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF FONCEE,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,51.14,Hainaut,0.0,0,0,1,1
200.0,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,3.04,Hainaut,0.0,0,0,1,1
294.16666666666663,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,6.12,Brussels Capital Region,0.0,0,0,0,1
254.28,Drink Led,Bar,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,432.9,Antwerp,518.04,0,0,1,1
408.60465116279073,Institutional,Institutional,OW_BOTTLE_GOOSE ISLAND_GOOSE ISLAND IPA,GOOSE ISLAND,GOOSE ISLAND IPA,BOTTLE,1.79,Hainaut,0.0,0,1,0,0
294.16666666666663,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,1.52,Hainaut,0.0,0,1,0,1
389.1139240506329,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,5.3,Hainaut,0.0,0,1,0,1
453.3333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,12.18,East Flanders,65.69,0,0,1,1
328.0,Institutional,Institutional,"RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN ROSE 0,0",HOEGAARDEN,"HOEGAARDEN ROSE 0,0",BOTTLE,1.86,East Flanders,37.2,0,0,1,1
347.0,Institutional,Institutional,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,1.55,East Flanders,32.81,0,0,1,1
294.1628787878788,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,134.41,East Flanders,443.76,0,0,1,1
389.1139240506329,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,66.25,East Flanders,224.75,0,0,1,1
388.5266930767779,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,BOTTLE,177.63,East Flanders,593.33,0,0,1,1
380.0,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE SANS ALCOOL/ALCOHOLVRIJ,LEFFE,LEFFE SANS ALCOOL/ALCOHOLVRIJ,BOTTLE,3.68,East Flanders,85.31,0,0,1,1
453.3333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,18.32,East Flanders,98.57,0,0,1,1
413.8333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE GUEUZE,BELLE VUE,BELLE VUE GUEUZE,BOTTLE,-1.54,East Flanders,-7.45,0,0,1,1
347.0,Institutional,Institutional,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,2.48,East Flanders,52.51,0,0,1,1
294.1666666666667,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,204.7,East Flanders,660.39,0,0,1,1
388.22043628013773,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,87.51,East Flanders,296.67,0,0,1,1
388.45829823083403,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,BOTTLE,79.54,East Flanders,269.69,0,0,1,1
388.1012658227848,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE RUBY,LEFFE,LEFFE RUBY,BOTTLE,-4.66,East Flanders,-18.13,0,0,1,1
316.0,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE SANS ALCOOL/ALCOHOLVRIJ,LEFFE,LEFFE SANS ALCOOL/ALCOHOLVRIJ,BOTTLE,2.04,East Flanders,47.38,0,0,1,1
223.44292237442923,Institutional,Institutional,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF FONCEE,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,5.96,East Flanders,76.4,0,0,1,1
294.16666666666663,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,13.76,Liège,0.0,0,0,1,1
347.0,Institutional,Institutional,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,2.48,Flemish Brabant,41.04,0,1,0,1
285.83333333333337,Institutional,Institutional,RETURNABLE_BOTTLE_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,BOTTLE,146.68,Flemish Brabant,187.49,0,1,0,1
284.0,Institutional,Institutional,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN ROSEE,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,3.84,West Flanders,10.86,0,0,1,1
231.16666666666669,Institutional,Institutional,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,9.12,West Flanders,21.48,0,0,1,1
230.99999999999997,Institutional,Institutional,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,2.79,West Flanders,31.71,0,0,1,1
199.99739583333334,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,97.74,West Flanders,232.76,0,0,1,1
285.56962025316454,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,60.95,West Flanders,148.94,0,0,1,1
285.56962025316454,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,BOTTLE,10.6,West Flanders,27.08,0,0,1,1
270.75949367088606,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE SANS ALCOOL/ALCOHOLVRIJ,LEFFE,LEFFE SANS ALCOOL/ALCOHOLVRIJ,BOTTLE,2.03,West Flanders,35.67,0,0,1,1
128.77777777777777,Institutional,Institutional,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF BLONDE,PIEDBOEUF,PIEDBOEUF BLONDE,BOTTLE,4.4,West Flanders,39.96,0,0,1,1
128.77777777777777,Institutional,Institutional,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF FONCEE,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,9.76,West Flanders,88.8,0,0,1,1
389.1139240506329,Entertainment Led,Events,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,2.65,West Flanders,0.0,0,0,1,1
389.1139240506329,Entertainment Led,Events,RETURNABLE_BOTTLE_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,BOTTLE,2.65,West Flanders,0.0,0,0,1,1
254.28,Entertainment Led,Events,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,180.4,West Flanders,0.0,0,0,1,1
449.6666666666667,Drink Led,Bar,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE KRIEK CLASSIQUE,BELLE VUE,BELLE VUE KRIEK CLASSIQUE,BOTTLE,7.6,Antwerp,78.44,0,1,0,1
328.0,Drink Led,Bar,"RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN ROSE 0,0",HOEGAARDEN,"HOEGAARDEN ROSE 0,0",BOTTLE,0.31,Antwerp,9.11,0,1,0,1
302.83333333333337,Drink Led,Bar,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,12.16,Antwerp,78.91,0,1,0,1
347.00000000000006,Drink Led,Bar,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,7.13,Antwerp,340.4,0,1,0,1
294.156378600823,Drink Led,Bar,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,123.76,Antwerp,1029.29,0,1,0,1
388.65992414664976,Drink Led,Bar,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,79.53,Antwerp,564.51,0,1,0,1
388.65992414664976,Drink Led,Bar,RETURNABLE_BOTTLE_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,BOTTLE,79.53,Antwerp,552.48,0,1,0,1
416.424510423247,Drink Led,Bar,RETURNABLE_BOTTLE_TRIPEL KARMELIET_TRIPEL KARMELIET,TRIPEL KARMELIET,TRIPEL KARMELIET,BOTTLE,65.69,Antwerp,278.02,0,1,0,1
308.1012658227848,Entertainment Led,Events,OW_CAN_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,CAN,2.68,Flemish Brabant,0.0,0,1,0,0
349.6666666666667,Entertainment Led,Events,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN ROSEE,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,1.28,Flemish Brabant,0.0,0,1,0,1
368.73333333333335,Entertainment Led,Events,RETURNABLE_KEG_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,KEG,9.62,Flemish Brabant,0.0,0,1,0,1
267.9666666666667,Entertainment Led,Events,RETURNABLE_KEG_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,KEG,14.43,Flemish Brabant,0.0,0,1,0,1
294.16666666666663,Entertainment Led,Events,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,1.52,East Flanders,0.0,0,1,0,1
302.8333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,4.58,East Flanders,0.0,0,1,0,1
294.1666666666667,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,30.56,East Flanders,0.0,0,1,0,1
389.1139240506329,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,5.3,East Flanders,0.0,0,1,0,1
389.1139240506329,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,BOTTLE,5.3,East Flanders,0.0,0,1,0,1
266.01764705882357,Drink Led,Bar,RETURNABLE_KEG_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,KEG,40.9,Flemish Brabant,61.71,0,1,0,1
294.1666666666667,Entertainment Led,Events,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,18.32,Antwerp,29.02,0,1,0,1
254.28,Entertainment Led,Events,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,288.61,Antwerp,544.42,0,1,0,1
453.3333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,1.52,East Flanders,5.13,0,0,1,1
294.1666666666667,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,18.33,East Flanders,38.69,0,0,1,1
389.1139240506329,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,BOTTLE,2.65,East Flanders,5.62,0,0,1,1
417.2151898734177,Institutional,Institutional,RETURNABLE_BOTTLE_TRIPEL KARMELIET_TRIPEL KARMELIET,TRIPEL KARMELIET,TRIPEL KARMELIET,BOTTLE,3.29,East Flanders,5.92,0,0,1,1
255.35384615384612,Institutional,Institutional,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,31.26,East Flanders,60.15,0,0,1,1
370.6,Institutional,Institutional,RETURNABLE_KEG_TRIPEL KARMELIET_TRIPEL KARMELIET,TRIPEL KARMELIET,TRIPEL KARMELIET,KEG,21.64,East Flanders,26.12,0,0,1,1
294.1666666666667,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,87.1,East Flanders,229.76,0,0,1,1
417.2151898734177,Institutional,Institutional,RETURNABLE_BOTTLE_TRIPEL KARMELIET_TRIPEL KARMELIET,TRIPEL KARMELIET,TRIPEL KARMELIET,BOTTLE,13.13,East Flanders,12.23,0,0,1,1
302.8333333333333,Entertainment Led,Events,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,4.59,West Flanders,4.99,0,0,1,1
347.0,Entertainment Led,Events,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,0.93,West Flanders,6.16,0,0,1,1
408.3,Entertainment Led,Events,RETURNABLE_KEG_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,KEG,28.86,West Flanders,46.11,0,0,1,1
248.54999999999998,Entertainment Led,Events,RETURNABLE_KEG_JUPILER_JUPILER BLUE,JUPILER,JUPILER BLUE,KEG,3.21,West Flanders,4.65,0,0,1,1
368.73333333333335,Entertainment Led,Events,RETURNABLE_KEG_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,KEG,9.62,West Flanders,10.1,0,0,1,1
368.73333333333335,Entertainment Led,Events,RETURNABLE_KEG_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,KEG,9.62,West Flanders,10.1,0,0,1,1
261.34,Entertainment Led,Events,RETURNABLE_KEG_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,KEG,420.9,West Flanders,415.25,0,0,1,1
453.33333333333337,Entertainment Led,Events,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,10.69,Flemish Brabant,0.0,0,1,0,1
388.0224403927069,Entertainment Led,Events,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,47.73,Flemish Brabant,0.0,0,1,0,1
368.73333333333335,Entertainment Led,Events,RETURNABLE_KEG_LEFFE_LEFFE BRUNE,LEFFE,LEFFE BRUNE,KEG,19.24,Flemish Brabant,0.0,0,1,0,1
261.34000000000003,Entertainment Led,Events,RETURNABLE_KEG_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,KEG,60.12,Flemish Brabant,0.0,0,1,0,1
453.3333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_BELLE VUE_BELLE VUE EXTRA KRIEK,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,3.06,Flemish Brabant,0.0,0,1,0,1
387.8864353312303,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,31.82,Flemish Brabant,0.0,0,1,0,1
380.0,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE SANS ALCOOL/ALCOHOLVRIJ,LEFFE,LEFFE SANS ALCOOL/ALCOHOLVRIJ,BOTTLE,0.8,Flemish Brabant,0.0,0,1,0,1
285.8333333333333,Institutional,Institutional,RETURNABLE_BOTTLE_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,BOTTLE,10.69,Flemish Brabant,0.0,0,1,0,1
349.6666666666667,Entertainment Led,Events,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN ROSEE,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,12.89,Luxembourg,0.0,0,0,1,1
347.0,Entertainment Led,Events,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,0.93,Luxembourg,0.0,0,0,1,1
294.15686274509807,Entertainment Led,Events,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,25.97,Luxembourg,0.0,0,0,1,1
389.1139240506329,Entertainment Led,Events,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,5.3,Luxembourg,0.0,0,0,1,1
255.9116883116883,Entertainment Led,Events,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,185.21,Luxembourg,0.0,0,0,1,1
347.0,Entertainment Led,Events,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,0.62,Flemish Brabant,4.52,0,1,0,1
388.0797342192691,Entertainment Led,Events,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,50.38,Flemish Brabant,67.98,0,1,0,1
403.70000000000005,Entertainment Led,Events,RETURNABLE_KEG_LEFFE_FLAVOURED ALCOHOLIC,LEFFE,FLAVOURED ALCOHOLIC,KEG,147.52,Flemish Brabant,245.27,0,1,0,1
261.34000000000003,Entertainment Led,Events,RETURNABLE_KEG_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,KEG,493.05,Flemish Brabant,913.56,0,1,0,1
285.8333333333333,Drink Led,Bar,RETURNABLE_BOTTLE_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,BOTTLE,6.11,Flemish Brabant,0.0,0,1,0,1
302.83333333333337,Entertainment Led,Events,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,6.12,Flemish Brabant,13.32,0,1,0,1
347.0,Entertainment Led,Events,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,1.24,Flemish Brabant,16.4,0,1,0,1
285.8333333333333,Entertainment Led,Events,RETURNABLE_BOTTLE_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,BOTTLE,55.0,Flemish Brabant,106.23,0,1,0,1
416.16161616161617,Entertainment Led,Events,RETURNABLE_BOTTLE_TRIPEL KARMELIET_TRIPEL KARMELIET,TRIPEL KARMELIET,TRIPEL KARMELIET,BOTTLE,32.86,Flemish Brabant,54.01,0,1,0,1
294.1666666666667,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,4.58,Limburg,7.98,0,0,1,1
285.56962025316454,Institutional,Institutional,RETURNABLE_BOTTLE_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,BOTTLE,2.65,Flemish Brabant,0.0,0,1,0,1
194.66666666666666,Institutional,Institutional,RETURNABLE_BOTTLE_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,BOTTLE,41.25,Flemish Brabant,0.0,0,1,0,1
346.94444444444446,Institutional,Institutional,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,0.93,Brussels Capital Region,28.17,0,0,0,1
294.1607142857143,Institutional,Institutional,RETURNABLE_BOTTLE_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,BOTTLE,42.78,Brussels Capital Region,261.96,0,0,0,1
220.66246056782336,Institutional,Institutional,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF BLONDE,PIEDBOEUF,PIEDBOEUF BLONDE,BOTTLE,5.16,Brussels Capital Region,127.92,0,0,0,1
220.66246056782336,Institutional,Institutional,RETURNABLE_BOTTLE_PIEDBOEUF_PIEDBOEUF FONCEE,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,5.16,Brussels Capital Region,127.9,0,0,0,1
263.825,Institutional,Institutional,RETURNABLE_KEG_STELLA ARTOIS_STELLA ARTOIS REGULAR,STELLA ARTOIS,STELLA ARTOIS REGULAR,KEG,38.48,Flemish Brabant,0.0,0,1,0,1
366.34999999999997,Entertainment Led,Recreational,RETURNABLE_KEG_HOEGAARDEN_HOEGAARDEN ROSEE,HOEGAARDEN,HOEGAARDEN ROSEE,KEG,8.02,Liège,0.0,0,0,1,1
255.696,Entertainment Led,Recreational,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,60.14,Liège,0.0,0,0,1,1
364.79999999999995,Entertainment Led,Recreational,RETURNABLE_KEG_SCOTCH CTS_SCOTCH CTS,SCOTCH CTS,SCOTCH CTS,KEG,6.41,Liège,0.0,0,0,1,1
302.8333333333333,Entertainment Led,Events,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,7.64,Hainaut,0.0,0,0,1,1
254.28,Entertainment Led,Events,RETURNABLE_KEG_JUPILER_JUPILER PILS,JUPILER,JUPILER PILS,KEG,72.16,Hainaut,0.0,0,0,1,1
368.73333333333335,Entertainment Led,Events,RETURNABLE_KEG_LEFFE_LEFFE BLONDE,LEFFE,LEFFE BLONDE,KEG,28.86,Hainaut,0.0,0,0,1,1
302.83333333333337,Entertainment Led,Events,RETURNABLE_BOTTLE_HOEGAARDEN_HOEGAARDEN WHITE,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,1.54,Limburg,2.49,0,0,1,1
347.0,Entertainment Led,Events,"RETURNABLE_BOTTLE_JUPILER_JUPILER 0,0",JUPILER,"JUPILER 0,0",BOTTLE,0.62,Limburg,6.15,0,0,1,1
